Ref,Val,Package,PosX,PosY,Rot,Side
"C8","100nF","C_0402_1005Metric",113.050000,-88.450000,270.000000,top
"C9","100nF","C_0402_1005Metric",113.050000,-90.535000,270.000000,top
"C10","1uF","C_0402_1005Metric",114.450000,-89.475000,270.000000,top
"C11","100nF","C_0402_1005Metric",115.350000,-92.975000,90.000000,top
"C17","100nF","C_0402_1005Metric",120.650000,-94.950000,0.000000,top
"C18","100nF","C_0402_1005Metric",118.265000,-95.750000,0.000000,top
"C27","100nF","C_0402_1005Metric",119.250000,-84.550000,0.000000,top
"IC2","ADS112C04IPWR","TSSOP-16_4.4x5mm_P0.65mm",119.150000,-90.150000,270.000000,top
"J1","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",103.250000,-90.550000,270.000000,top
"J2","JST_SH_Conn_01x04_i2c_horizontal","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",135.750000,-90.500000,90.000000,top
"L2","MMZ2012Y202B ","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.450000,-96.750000,180.000000,top
"R1","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",132.050000,-96.500000,90.000000,top
"R2","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",130.400000,-96.500000,90.000000,top
"R13","10K 0.1%","R_0402_1005Metric",111.168000,-92.300000,0.000000,top
"R14","100K","R_0402_1005Metric",111.165000,-88.950000,180.000000,top
"R15","100K","R_0402_1005Metric",111.150000,-90.050000,180.000000,top
"R23","1K","R_0402_1005Metric",121.550000,-84.550000,180.000000,top
